ID,group,brsi_all,pre_mood,post_mood,diff_mood,pre_ci,pre_ci_all_1,pre_ci_all_2,pre_ci_all_3,pre_ci_all_4,post_ci_all,post_ci_all_1,post_ci_all_2,post_ci_all_3,post_ci_all_4,diff_ci
40,1,3,0.348148148148148,0.261818181818182,-0.0863299663299663,3.5,4,4,3,3,3,3,3,3,3,-0.5
41,2,0,0.799826383590698,0.798181818181818,-0.00164456540887992,0.75,1,0,0,2,0.75,1,0,0,2,0
42,1,1,0.70173610581292,0.600909090909091,-0.10082701490383,0,0,0,0,0,0,0,0,0,0,0
43,2,0,0.802430550257365,0.813636363636364,0.0112058133789987,3,4,3,3,2,1,1,1,1,1,-2
44,2,0,0.507638888888889,0.484545454545455,-0.0230934343434343,0.5,1,1,0,0,0,0,0,0,0,-0.5
45,1,3,0.804330552244736,0.413016270337922,-0.391314281906813,1,1,1,1,1,1.75,1,2,2,2,0.75
46,2,1,0.397222216924032,0.589090909090909,0.191868692166878,2.5,3,2,2,3,3.25,3,3,3,4,0.75
47,2,0,0.790740740740741,0.620909090909091,-0.16983164983165,1,1,1,1,1,1,1,1,1,1,0
48,1,3,0.891906283280085,0.168181818181818,-0.723724465098267,0,0,0,0,0,1.25,1,2,2,0,1.25
49,2,0,0.202083333333333,0.485454545454545,0.283371212121212,0.25,1,0,0,0,0.25,0,0,0,1,0
50,1,2,0.528664680005676,0.430454545454545,-0.0982101345511306,1,1,3,0,0,1.25,2,2,0,1,0.25
51,2,0,0.501763668430335,0.645454545454546,0.14369087702421,0,0,0,0,0,0.25,0,0,0,1,0.25
52,2,0,0.889121338912134,0.51,-0.379121338912134,0,0,0,0,0,0,0,0,0,0,0
53,1,2,0.506178039876439,0.346817563935435,-0.159360475941004,2,2,2,3,1,2.75,2,3,3,3,0.75
54,1,0,0.73298610581292,0.6,-0.13298610581292,1,1,1,1,1,1.25,1,1,1,2,0.25
55,1,2,0.5,0.321818181818182,-0.178181818181818,0,0,0,0,0,3.5,4,3,3,4,3.5
56,2,0,0.499305555555556,0.49,-0.00930555555555557,0.25,1,0,0,0,0,0,0,0,0,-0.25
57,1,2,0.26423610581292,0.240909090909091,-0.0233270149038295,2.5,2,1,3,4,3.75,3,4,4,4,1.25
58,2,1,0.692290249433107,0.609090909090909,-0.0831993403421974,0.25,0,0,0,1,0,0,0,0,0,-0.25
59,1,1,0.700485597857397,0.72,0.0195144021426028,0,0,0,0,0,1.5,2,2,2,0,1.5
60,1,1,0.500347216924032,0.492727272727273,-0.00761994419675888,0,0,0,0,0,1,1,0,1,2,1
61,1,2,0.69625,0.349090909090909,-0.347159090909091,0,0,0,0,0,1.75,2,2,2,1,1.75
62,2,2,0.596701383590698,0.28,-0.316701383590698,0,0,0,0,0,0,0,0,0,0,0
63,1,1,0.70050547598989,0.42,-0.28050547598989,0.5,1,0,0,1,0.75,2,0,0,1,0.25
64,1,2,0.813067774102873,0.721818181818182,-0.0912495922846909,1.25,2,0,1,2,1.5,2,1,1,2,0.25
65,1,2,0.700347216924032,0.597272727272727,-0.103074489651304,0,0,0,0,0,0.5,1,0,0,1,0.5
66,2,1,0.599305550257365,0.57,-0.0293055502573649,1.5,1,2,2,1,1,1,1,1,1,-0.5
67,2,0,0.49861110581292,0.482727272727273,-0.0158838330856477,0.75,1,0,0,2,0.8,0,0,0,2,0.05
68,1,1,0.793078055964654,0.583636363636364,-0.20944169232829,1.5,2,1,1,2,0.75,1,0,0,2,-0.75
69,2,0,0.657407407407407,0.696363636363636,0.038956228956229,2.75,3,2,3,3,1.25,1,1,1,2,-1.5
